,all,BaoYan,CuKeng,FanFan,FuBuEr,MeiLuo,MeiYou,NanShi,QingShui,SongLuo,SanGuang,TianGou,TuChang
1086,['Hymenasplenium excisum'],0,0,0,0,0,0,1,0,0,0,0,0
1087,['Cassia fistula'],0,0,0,0,0,0,1,0,0,0,0,0
1088,['Macaranga tanarius'],0,1,0,0,0,0,1,0,0,0,0,0
1089,['Ficus subpisocarpa'],0,0,0,0,0,0,1,1,1,0,0,0
1090,['Phegopteris decursive-pinnata'],0,0,0,0,0,0,1,0,0,1,0,1
1091,['Tectaria simonsii'],0,0,0,0,0,0,1,0,0,0,0,0
1092,['Cephalantheropsis'],0,1,0,0,0,0,0,0,0,0,0,0
1093,['Palirisa cervina formosana'],0,1,1,0,0,0,0,0,0,0,0,0
1094,['Langia zenzeroides'],0,1,1,0,0,0,1,0,0,0,0,0
1095,['Ourapteryx changi'],0,0,1,0,0,0,0,0,0,1,0,0
1096,['Macrocilix mysticata flavotincta'],0,1,1,0,0,0,1,0,0,0,0,0
1097,['Entomopteryx rubridisca'],0,1,1,0,0,0,0,0,0,1,0,0
1098,['Heterophleps variegata'],0,0,1,0,0,0,0,0,0,0,0,0
1099,['Bertula kosemponica'],0,0,1,0,0,0,1,0,0,0,1,0
1100,['Nudaria suffusa'],0,0,1,0,0,0,0,0,0,0,0,1
1101,['Horithyatira decorata'],0,1,1,0,0,0,0,0,0,0,0,0
1102,['Diphtherocome pulchra'],0,0,1,0,0,0,0,0,0,0,0,0
1103,['Thysanoptyx incurvata'],0,1,1,0,0,0,1,0,0,0,0,0
1104,['Discoglypha locupletata'],0,1,1,0,0,0,0,0,0,0,0,0
1105,['Gymnosphaera metteniana'],0,1,1,0,0,0,1,0,0,0,0,0
1106,['Muntiacus reevesi micrurus'],0,1,1,0,0,0,1,1,1,1,1,1
1107,['Machlolophus holsti'],0,0,1,0,0,0,1,0,1,0,0,0
1108,['Liparis bootanensis'],0,1,1,0,0,0,1,0,1,1,0,0
1109,['Trombidium'],0,0,0,0,0,0,1,0,0,0,0,1
1110,['Berberis hayatana'],0,0,0,1,0,0,1,1,0,1,1,1
1111,['Dryopteris hasseltii'],0,0,0,0,0,0,1,0,0,0,0,0
1112,['Diplaziopsis javanica'],0,0,0,0,0,0,1,0,0,0,0,0
1113,['Picea morrisonicola'],0,0,1,1,0,0,0,0,0,1,0,0
1114,['Lonicera acuminata'],0,0,0,1,0,0,0,0,0,0,1,0
1115,['Alpinia uraiensis'],0,1,0,0,0,0,1,1,1,0,0,0
1116,['Pourthiaea arguta'],0,1,0,0,0,0,1,0,0,0,0,0
1117,['Meliosma rhoifolia'],0,0,0,0,0,0,1,0,0,1,0,0
1118,['Aralia bipinnata'],0,1,1,0,0,0,1,0,1,1,1,0
1119,['Prinsepia scandens'],0,0,0,1,0,0,0,0,0,0,0,0
1120,['Stauntonia purpurea'],0,0,0,1,0,0,1,0,0,1,0,0
1121,['Hydrocotyle'],0,1,1,1,0,0,1,0,0,1,0,1
1122,['Potentilla hebiichigo'],0,1,1,0,0,0,1,1,0,1,0,1
1123,['Pilea peploides'],0,0,0,0,0,0,1,0,1,0,0,1
1124,['Arisaema ringens'],0,1,1,0,0,0,1,0,1,0,1,1
1125,['Epipremnum aureum'],0,0,0,0,0,0,0,1,0,0,0,0
1126,['Calanthe arisanensis'],0,0,0,0,0,0,1,0,0,1,0,1
1127,['Rubia linii'],0,0,0,0,0,0,0,0,0,1,1,0
1128,['Raphanus sativus'],0,0,0,0,0,0,0,0,0,1,0,0
1129,['Coprinus'],0,0,0,0,0,0,0,0,0,1,0,0
1130,['Pilea aquarum'],0,1,1,0,0,0,1,0,1,1,1,0
1131,['Pericrocotus solaris griseogularis'],0,0,0,0,0,0,1,0,0,0,0,0
1132,['Ageratina riparia'],0,0,1,0,0,0,0,0,0,1,0,0
1133,['Viburnum luzonicum'],0,1,1,0,0,0,1,0,0,1,0,0
1134,['Smilacaceae'],0,1,1,0,0,0,1,0,1,1,1,1
1135,['Symplocos lancifolia'],0,1,0,1,0,0,1,0,1,1,1,0
1136,['Sauria'],0,0,0,0,0,0,0,0,1,1,0,0
1137,['Rhododendron pseudochrysanthum'],0,0,1,1,0,0,1,0,0,0,1,0
1138,['Stachyurus himalaicus'],0,0,1,0,0,0,1,0,0,1,1,1
1139,['Ranunculus'],0,1,1,0,0,0,1,0,0,1,1,1
1140,['Hypsipetes leucocephalus nigerrimus'],0,1,0,0,0,0,1,1,0,1,0,1
1141,['Paulownia × taiwaniana'],0,0,1,0,0,0,1,0,0,1,0,1
1142,['Hydrocotyle batrachium'],0,1,1,0,0,0,1,0,0,0,0,0
1143,['Soliva anthemifolia'],0,1,0,0,0,0,1,1,0,0,0,0
1144,['Dicronocephalus bourgoini'],0,0,0,0,0,0,0,0,0,1,0,0
1145,['Bombus'],0,1,0,0,0,0,1,0,0,1,0,1
1146,['Dopasia harti'],0,0,0,0,0,0,1,0,1,0,0,0
1147,['Polytrichum'],0,1,0,0,0,0,0,0,0,0,0,0
1148,['Epidaus'],0,0,1,0,0,0,1,0,0,1,0,0
1149,['Rhaphiolepis indica'],0,1,0,1,0,0,1,0,0,1,0,0
1150,['Parapolybia'],0,0,1,0,0,0,1,0,0,1,0,0
1151,['Epiphyllum oxypetalum'],0,0,0,0,0,0,1,0,0,0,0,0
1152,['Odontonema tubaeforme'],0,0,0,0,0,0,1,0,0,0,0,0
1153,['Phlyctis argena'],0,0,0,0,0,0,1,0,0,0,0,0
1154,['Rhopalephora scaberrima'],0,0,0,0,0,0,1,0,1,1,0,0
1155,['Acridoidea'],0,1,0,0,0,0,1,1,0,0,0,1
1156,['Pterocarpus indicus'],0,1,0,0,0,0,1,1,0,0,0,0
1157,['Asimitellaria formosana'],0,0,0,0,0,0,1,0,0,0,1,0
1158,['Sorbus randaiensis'],0,0,1,0,0,0,0,0,0,0,0,0
1159,['Agave'],0,0,0,0,0,0,0,0,0,1,0,0
1160,['Rubus cardotii'],0,1,0,0,0,0,1,0,1,0,0,0
1161,['Viola'],0,1,1,0,0,0,1,0,0,1,1,1
1162,['Bredia oldhamii'],0,1,1,0,0,0,1,0,0,1,0,1
1163,['Alpinia japonica'],0,1,1,1,0,0,1,0,1,1,0,0
1164,['Persicaria posumbu'],0,1,0,0,0,0,1,0,1,1,0,0
1165,['Peracarpa carnosa'],0,1,0,0,0,0,0,0,0,1,1,0
1166,['Mazus'],0,1,1,0,0,0,1,0,0,1,1,1
1167,['Oxalis debilis'],0,1,0,0,0,0,1,1,1,1,0,1
1168,['Fabaceae'],0,1,1,0,0,0,1,1,1,1,0,1
1169,['Staurogyne concinnula'],0,1,0,0,0,0,1,0,0,0,0,0
1170,['Luperina'],0,0,0,0,0,0,1,0,0,0,0,0
1171,['Paraprenanthes sororia'],0,0,0,0,0,0,1,1,1,1,0,0
1172,['Haplopteris'],0,1,0,0,0,0,1,0,1,0,0,0
1173,['Fissistigma oldhamii'],0,0,0,0,0,0,1,0,1,0,0,0
1174,['Aidia cochinchinensis'],0,1,0,0,0,0,1,0,1,0,0,0
1175,['Lindera'],0,1,0,0,0,0,0,0,0,0,0,0
1176,['Oudemansiella radicata'],0,0,0,0,0,0,1,0,1,0,0,0
1177,['Liparis gigantea'],0,1,0,0,0,0,1,0,1,1,0,0
1178,['Zehneria'],0,1,0,0,0,0,0,0,1,0,0,0
1179,['Goodyera procera'],0,0,0,0,0,0,1,0,1,0,0,0
1180,['Gonostegia triandra'],0,1,1,0,0,0,1,1,1,1,1,1
1181,['Erianthella formosana'],0,1,1,0,0,0,1,0,1,1,0,1
1182,['Archaeognatha'],0,0,0,0,0,0,1,0,0,0,0,0
1183,['Pollia miranda'],0,1,1,0,0,0,1,1,1,1,0,1
1184,['Sida rhombifolia'],0,1,0,0,0,0,1,1,1,0,0,0
1185,['Arisaema ilanense'],0,0,0,1,0,0,0,0,0,1,0,0
1186,['Rhododendron × pulchrum'],0,1,1,0,0,0,1,0,0,0,0,1
1187,['Parmarion martensi'],0,1,0,0,0,0,1,1,1,0,0,0
1188,['Dolomedes sulfureus'],0,1,0,0,0,0,1,0,1,0,0,1
1189,['Ctenidae'],0,0,0,0,0,0,1,0,0,0,0,0
1190,['Blattellidae'],0,1,0,0,0,0,1,0,0,0,0,1
1191,['Carabidae'],0,1,1,0,0,0,1,0,0,1,0,0
1192,['Laccotrephes'],0,1,1,0,0,0,1,0,0,0,0,1
1193,['Laccotrephes pfeiferiae'],0,1,0,0,0,0,1,0,0,0,0,0
1194,['Holorusia'],0,0,0,0,0,0,1,0,0,0,0,0
1195,['Qianlingula'],0,0,0,0,0,0,1,0,0,0,0,0
1196,['Aquatica ficta'],0,0,0,0,0,0,1,0,0,0,0,0
1197,['Oxytate'],0,1,0,0,0,0,1,0,0,0,0,0
1198,['Rhaphidophoridae'],0,1,1,0,0,0,1,1,0,1,0,0
1199,['Leiobunum maximum'],0,1,0,0,0,0,1,0,0,1,0,0
1200,['Agrypnus'],0,0,1,0,0,0,1,0,0,0,0,0
1201,['Eugryllacris'],0,0,0,0,0,0,1,0,0,1,0,0
1202,['Araneidae'],0,1,1,0,0,1,1,0,1,1,0,0
1203,['Clelea formosana'],0,0,0,0,0,0,1,0,1,1,0,1
1204,['Hermetia illucens'],0,1,0,0,0,0,1,0,0,0,0,1
1205,['Paragymnopleurus ambiguus'],0,0,0,1,0,1,1,0,0,1,0,0
1206,['Azolla pinnata'],0,1,0,0,0,0,0,0,0,0,0,0
1207,['Rotala rotundifolia'],0,1,0,0,0,0,0,0,0,0,0,0
1208,['Saururus chinensis'],0,1,0,0,0,0,1,0,0,0,0,0
1209,['Poales'],0,1,0,0,0,0,1,0,1,1,1,0
1210,['Misgurnus anguillicaudatus'],0,1,0,0,0,0,0,0,0,0,0,0
1211,['Heteropoda'],0,1,1,0,0,0,1,1,0,1,1,1
1212,['Thomisinae'],0,0,0,0,0,0,1,0,0,0,0,0
1213,['Stypocladius'],0,0,0,0,0,0,1,0,0,0,0,0
1214,['Egeria densa'],0,1,0,0,0,0,1,0,0,0,0,0
1215,['Typhonium blumei'],0,1,0,0,0,0,1,1,0,0,0,0
1216,['Histiopteris incisa'],0,1,1,0,0,0,1,0,1,1,0,0
1217,['Papilio castor formosanus'],0,1,0,0,0,0,1,0,0,1,0,0
1218,['Larentiinae'],0,1,0,0,0,0,0,0,0,0,0,0
1219,['Neochauliodes sinensis'],0,1,0,0,0,0,1,0,0,0,0,0
1220,['Porella'],0,0,0,0,0,0,0,0,0,0,1,0
1221,['Frullania'],0,0,0,0,0,0,0,0,0,0,1,0
1222,['Makinoa crispata'],0,0,0,0,0,0,0,0,0,0,1,0
1223,['Geastrum triplex'],0,1,0,0,0,0,0,0,0,0,0,0
1224,['Gallinula chloropus'],0,1,1,0,0,0,1,1,0,0,0,0
1225,['Lasianthus verticillatus'],0,1,0,0,0,0,1,0,0,0,0,0
1226,['Luciola kagiana'],0,1,0,0,0,0,1,0,0,0,0,0
1227,['Therates fruhstorferi'],0,0,0,0,0,0,1,0,0,1,0,0
1228,['Danainae'],0,1,0,0,0,0,1,0,0,0,0,0
1229,['Lymantriinae'],0,1,0,0,0,1,1,0,0,1,1,1
1230,['Miscanthus sinensis'],0,1,0,0,0,0,1,1,1,1,0,1
1231,['Geometroidea'],0,1,0,0,0,0,1,1,0,0,0,1
1232,['Miltochrista'],0,1,1,0,0,0,1,1,1,1,0,0
1233,['Chrysaeglia magnifica'],0,1,1,0,0,0,1,0,1,1,0,1
1234,['Dermaptera'],0,1,1,0,0,1,1,0,0,1,0,1
1235,['Basiprionota angusta'],0,0,0,0,0,0,1,0,0,0,0,0
1236,['Noctuoidea'],0,1,0,0,0,0,1,1,1,1,1,1
1237,['Luxiaria'],0,0,0,0,0,0,1,0,0,0,0,0
1238,['Okiscarta uchidae'],0,1,0,0,0,0,1,0,1,1,1,1
1239,['Arctiinae'],0,1,0,0,0,0,1,0,1,1,0,0
1240,['Lysimachia decurrens'],0,0,0,0,0,0,1,0,1,0,0,0
1241,['Solanum nigrum'],0,1,1,0,0,0,1,0,0,1,0,0
1242,['Ephemeroptera'],0,1,0,0,0,0,1,1,1,0,0,1
1243,['Salvia hayatae'],0,1,0,0,0,0,1,0,0,1,0,0
1244,['Rubus corchorifolius'],0,1,1,0,0,0,1,0,1,1,1,1
1245,['Lilium formosanum'],0,0,0,1,0,0,1,0,0,1,0,1
1246,['Coccinellini'],0,1,0,0,0,0,1,0,0,0,0,0
1247,['Philodromidae'],0,0,0,0,0,0,1,0,0,0,0,0
1248,['Oxyopidae'],0,1,0,0,0,0,1,0,0,1,0,1
1249,['Cucujiformia'],0,1,0,0,0,0,1,1,0,0,0,0
1250,['Homona'],0,0,0,0,0,0,1,0,0,0,0,0
1251,['Neoscona scylloides'],0,1,0,0,0,0,1,0,0,0,0,0
1252,['Gryllotalpa'],0,1,0,0,0,0,0,0,0,0,0,0
1253,['Polistes japonicus'],0,0,0,0,0,0,1,0,0,0,0,0
1254,['Bipalium'],0,1,1,0,0,0,1,0,0,1,1,0
1255,['Clausiliidae'],0,0,0,0,0,0,1,0,0,1,0,0
1256,['Satsuma sphaeroconus'],0,1,0,0,0,0,1,0,0,1,0,0
1257,['Ranidae'],0,1,1,0,0,0,1,0,0,0,0,0
1258,['Polypedates'],0,1,0,0,0,0,0,0,0,0,0,0
1259,['Lemna'],0,1,0,0,0,0,0,0,0,0,0,0
1260,['Sparassidae'],0,1,1,0,0,0,1,1,0,1,0,0
1261,['Rhacophoridae'],0,1,0,0,0,0,1,1,1,1,0,1
1262,['Geothelphusa'],0,1,0,0,0,0,1,1,1,0,0,0
1263,['Narosa'],0,0,0,0,0,0,1,0,0,0,0,0
1264,['Satsuma mellea'],0,1,0,0,0,0,1,0,0,1,0,0
1265,['Polygonum'],0,0,1,0,0,0,1,0,0,0,1,0
1266,['Siler cupreus'],0,1,1,0,0,0,1,1,1,1,0,0
1267,['Clinterocera nigra'],0,1,0,0,0,0,1,0,0,0,0,0
1268,['Eocanthecona formosa'],0,1,0,0,0,0,1,0,0,1,0,0
1269,['Eusthenaria'],0,0,0,0,0,0,1,0,0,1,0,0
1270,['Satsuma'],0,0,0,0,0,0,1,1,0,0,0,0
1271,['Sylvirana guentheri'],0,1,0,0,0,0,0,0,0,0,0,0
1272,['Xanthorhoe saturata'],0,1,1,0,0,0,0,0,0,0,0,0
1273,['Pelodiscus sinensis'],0,1,0,0,0,0,1,0,0,0,0,0
1274,['Xylotrechus atronotatus'],0,0,0,0,0,0,1,0,0,0,0,0
1275,['Broussonetia monoica'],0,0,0,0,0,0,1,0,0,1,0,0
1276,['Arachniodes rhomboidea'],0,0,1,0,0,0,1,0,0,1,0,1
1277,['Trachelospermum asiaticum'],0,0,1,0,0,0,1,0,0,1,0,0
1278,['Asplenium formosae'],0,0,0,0,0,0,1,0,0,0,0,0
1279,['Macroglossum'],0,1,0,0,0,0,1,0,0,0,0,0
1280,['Ficus pumila'],0,1,1,0,0,0,1,0,0,1,0,1
1281,['Lepisorus fortuni'],0,1,1,0,0,0,1,1,0,1,0,1
1282,['Vincetoxicum koi'],0,0,0,0,0,0,1,0,0,0,0,0
1283,['Lagria formosensis'],0,1,0,0,0,0,1,0,0,0,0,0
1284,['Trochodendron aralioides'],0,1,1,1,0,1,0,0,1,1,1,0
1285,['Styrax formosanus'],0,1,1,0,0,1,1,0,1,1,1,1
1286,['Nephila'],0,1,0,0,0,0,1,0,0,0,0,0
1287,['Eurycorymbus cavaleriei'],0,1,0,0,0,0,1,0,0,0,0,0
1288,['Boehmeria zollingeriana podocarpa'],0,0,1,0,0,0,1,1,0,0,0,0
1289,['Pouzolzia sanguinea elegans'],0,1,1,0,0,0,1,0,1,1,0,1
1290,['Ventilago leiocarpa'],0,0,0,0,0,0,1,0,0,0,0,0
1291,['Euophrys'],0,0,0,0,0,0,1,0,0,0,0,0
1292,['Tenebrionoidea'],0,1,1,0,0,0,1,0,0,0,0,0
1293,['Sinocymbachus politus'],0,0,0,0,0,0,1,0,0,1,0,0
1294,['Oxalis griffithii'],0,0,1,1,0,1,0,0,0,0,1,1
1295,['Pogonatum'],0,0,0,0,0,0,1,0,0,0,1,0
1296,['Illicium anisatum'],0,0,0,0,0,0,1,0,1,1,1,1
1297,['Rubus trianthus'],0,0,0,0,0,0,1,0,0,0,1,0
1298,['Viburnum furcatum'],0,0,1,1,0,0,0,0,0,0,1,1
1299,['Cirsium kawakamii'],0,0,0,0,0,0,0,0,0,0,1,0
1300,['Sylvicola'],0,0,0,0,0,0,0,0,0,0,1,0
1301,['Hymenophyllaceae'],0,0,0,0,0,0,1,0,0,0,1,1
1302,['Sarcoscypha'],0,0,0,0,0,0,0,0,0,0,1,0
1303,['Pteridium'],0,0,0,0,0,0,0,0,0,0,1,0
1304,['Araneoidea'],0,1,1,0,0,0,1,0,1,0,1,1
1305,['Pellionia radicans'],0,1,1,0,0,0,1,0,1,1,1,0
1306,['Euphaedusa'],0,0,0,0,0,0,1,0,0,0,0,0
1307,['Pterophoridae'],0,1,0,0,0,0,1,0,0,0,0,0
1308,['Ades formosanus'],0,0,0,0,0,0,1,0,1,0,0,0
1309,['Melaleuca alternifolia'],0,1,0,0,0,0,0,0,0,0,0,0
1310,['Anisolabididae'],0,0,0,0,0,0,1,0,0,0,0,0
1311,['Euproctis kanshireia'],0,1,0,0,0,0,1,0,0,0,0,1
1312,['Pachystachys lutea'],0,0,0,0,0,0,1,1,0,0,0,0
1313,['Fodina contigua'],0,0,0,0,0,0,1,0,0,1,0,0
1314,['Portia'],0,0,0,0,0,0,1,0,0,0,0,0
1315,['Christella parasitica'],0,1,1,0,0,0,1,0,1,1,0,1
1316,['Phyllanthus tenellus'],0,0,0,0,0,0,1,0,0,0,0,0
1317,['Lactuca indica'],0,1,0,0,0,0,1,0,1,0,0,0
1318,['Pteris multifida'],0,0,0,0,0,0,1,0,0,0,0,0
1319,['Pteris vittata'],0,0,0,0,0,0,1,0,0,0,0,1
1320,['Microlepia strigosa'],0,1,1,1,0,0,1,1,1,0,0,0
1321,['Dolomedes raptor'],0,1,0,0,0,0,1,0,0,1,0,0
1322,['Ficus sarmentosa nipponica'],0,1,1,0,0,0,1,0,1,1,0,1
1323,['Mimela'],0,0,0,0,0,0,1,0,0,0,0,1
1324,['Rosalia lesnei'],0,1,1,1,0,0,1,0,0,1,0,0
1325,['Persicaria capitata'],0,0,0,0,0,0,1,0,0,0,0,0
1326,['Alniphyllum pterospermum'],0,1,1,0,0,0,1,0,1,1,1,0
1327,['Bridelia balansae'],0,0,0,0,0,0,1,0,1,0,0,0
1328,['Hydrocotyle sibthorpioides'],0,0,1,0,0,0,1,0,0,0,1,0
1329,['Radermachera sinica'],0,0,0,0,0,0,1,0,1,1,0,0
1330,['Styrax suberifolius'],0,0,1,0,0,0,1,0,0,1,0,1
1331,['Carex'],0,1,0,0,0,0,1,0,0,0,0,1
1332,['Clematis grata'],0,1,1,0,0,0,1,1,1,1,0,1
1333,['Casearia glomerata'],0,0,0,0,0,0,1,0,1,0,0,1
1334,['Ricaniinae'],0,1,0,0,0,0,1,0,0,1,0,0
1335,['Pimelocerus'],0,0,0,0,0,0,1,0,0,0,0,0
1336,['Scutelleridae'],0,0,0,0,0,0,1,0,0,1,0,0
1337,['Paratrachelophorus nodicornis'],0,0,0,0,0,0,1,0,0,1,0,0
1338,['Hipposideros armiger terasensis'],0,1,0,0,0,0,1,0,0,0,0,0
1339,['Quercus variabilis'],0,1,0,0,0,0,0,0,0,1,0,0
1340,['Liquidambar formosana'],0,1,1,0,0,0,1,1,1,1,0,0
1341,['Meteoriaceae'],0,1,1,0,0,0,0,0,1,1,0,1
1342,['Thuidium'],0,1,1,0,0,1,1,0,1,0,0,0
1343,['Erechtites valerianifolius'],0,1,0,0,0,0,1,1,1,0,0,1
1344,['Cornus kousa'],0,1,0,0,0,0,1,0,0,0,0,1
1345,['Strobilanthes cusia'],0,1,0,0,0,0,1,0,0,1,0,0
1346,['Pisaura'],0,1,1,0,0,0,1,0,0,1,0,0
1347,['Polypodiales'],0,1,1,1,0,0,1,1,0,0,0,1
1348,['Physopelta'],0,1,0,0,0,0,1,0,0,0,0,0
1349,['Diplospora dubia'],0,1,0,0,0,0,0,0,1,1,0,0
1350,['Ficus erecta'],0,1,1,0,0,0,1,0,1,1,1,1
1351,['Nuphar pumila'],0,1,0,0,0,0,0,0,0,0,0,0
1352,['Carex doniana'],0,1,0,0,0,0,0,0,1,1,0,0
1353,['Schoenoplectiella mucronata'],0,1,0,0,0,0,1,0,0,0,0,0
1354,['Haemadipsa rjukjuana'],0,1,0,0,0,0,1,0,0,1,0,0
1355,['Elatostema hirtellipedunculatum'],0,0,0,0,0,0,1,0,0,0,0,0
1356,['Saiva formosana'],0,0,0,0,0,0,0,0,0,1,0,0
1357,['Junonia orithya'],0,1,0,0,0,0,1,0,0,1,0,0
1358,['Lantana camara'],0,1,0,0,0,0,1,1,0,1,0,0
1359,['Dioryx swinhoei'],0,1,0,0,0,0,1,0,0,1,0,0
1360,['Aegista'],0,0,0,0,0,0,1,0,0,0,0,0
1361,['Erebidae'],0,1,1,0,0,0,1,1,0,1,0,1
1362,['Biston strataria'],0,0,0,0,0,0,1,0,0,0,0,0
1363,['Spilosomina'],0,1,0,0,0,0,1,1,0,0,0,0
1364,['Orgyiini'],0,1,0,0,0,0,1,0,0,1,1,0
1365,['Ramulus'],0,1,1,0,0,0,1,0,0,0,0,0
1366,['Clerodendrum chinense'],0,1,0,0,0,0,0,0,0,0,0,0
1367,['Rubus swinhoei'],0,1,1,0,0,0,1,0,1,1,0,1
1368,['Pyrocoelia praetexta'],0,1,0,0,0,0,1,0,0,0,0,0
1369,['Pilea angulata'],0,1,1,0,0,0,1,0,0,1,0,0
1370,['Cryptoderma formosense'],0,1,0,0,0,1,1,0,1,0,0,0
1371,['Ensifera'],0,1,1,0,0,0,1,0,0,1,0,0
1372,['Rhabdoblatta karnyi'],0,1,0,0,0,0,1,0,0,0,0,0
1373,['Lithocarpus glaber'],0,0,0,0,0,0,1,0,0,1,0,0
1374,['Enicurus scouleri'],0,0,1,0,0,0,1,0,0,0,0,0
1375,['Mictis serina'],0,0,0,0,0,0,0,0,0,1,0,0
1376,['Camponotus punctatissimus'],0,0,0,0,0,0,0,0,0,1,0,0
1377,['Tradescantia fluminensis'],0,0,1,0,0,1,1,0,0,1,0,0
1378,['Rhamnomia dubia dubia'],0,0,0,0,0,0,0,0,0,1,0,1
1379,['Oxyopes sertatus'],0,1,0,0,0,0,1,0,0,1,0,0
1380,['Rosa rugosa'],0,0,0,0,0,0,1,0,0,0,0,0
1381,['Forficulidae'],0,1,0,0,0,0,1,0,0,0,1,0
1382,['Amanita rubrovolvata'],0,1,0,0,0,0,0,0,0,0,0,0
1383,['Arthropoda'],0,1,1,0,0,0,1,1,0,0,0,1
1384,['Calanthe lyroglossa'],0,1,0,0,0,0,1,1,0,0,0,0
1385,['Boehmeria nivea'],0,1,1,0,0,0,1,0,0,1,0,0
1386,['Causonis japonica'],0,0,0,0,0,0,1,0,0,0,0,1
1387,['Ourapteryx clara'],0,1,1,0,0,0,0,0,0,0,0,0
1388,['Mogannia hebes'],0,1,0,0,0,0,0,0,0,0,0,0
1389,['Plexippoides guangxi'],0,1,0,0,0,0,0,0,0,0,0,0
1390,['Oxyopes'],0,1,0,0,0,0,1,0,0,1,0,0
1391,['Rana'],0,1,0,0,0,0,0,0,0,0,0,0
1392,['Brahmaea wallichii insulata'],0,1,0,0,0,0,0,0,0,0,1,0
1393,['Viola adenothrix'],0,0,1,0,0,0,0,0,0,1,1,1
1394,['Trigonotis formosana elevatovenosa'],0,1,1,0,0,0,0,0,0,1,1,0
1395,['Spilarctia'],0,1,1,0,0,0,1,0,0,0,0,1
1396,['Cosmoscartini'],0,0,0,0,0,0,1,0,1,0,0,1
1397,['Strongylium albopilosum'],0,0,0,0,0,0,0,0,0,0,0,1
1398,['Alleculinae'],0,0,1,0,0,0,0,0,0,1,0,1
1399,['Telchinia issoria'],0,0,1,0,0,0,1,0,1,1,0,1
1400,['Henosepilachna vigintioctopunctata'],0,1,0,0,0,0,1,0,0,1,0,1
1401,['Dacrymyces spathularia'],0,1,0,0,0,0,1,0,0,1,0,1
1402,['Ceracupes'],0,0,0,0,0,0,1,0,1,0,0,1
1403,['Davallia trichomanoides'],0,1,1,0,0,0,1,0,1,1,0,1
1404,['Verbena bonariensis'],0,0,0,0,0,0,0,0,0,0,0,1
1405,['Cosmoscarta bispecularis'],0,1,0,0,0,0,0,0,0,0,0,0
1406,['Plesiophthalmus'],0,0,0,0,0,0,1,1,0,0,0,1
1407,['Musa itinerans chiumei'],0,0,0,0,0,0,1,0,1,0,0,0
1408,['Agetocera'],0,0,0,0,0,0,0,0,1,0,0,0
1409,['Thomisidae'],0,1,1,0,0,0,1,0,1,1,0,1
1410,['Tirumala septentrionis'],0,1,0,0,0,0,1,0,1,1,0,0
1411,['Phlaeoba infumata'],0,0,0,0,0,0,0,0,1,0,0,1
1412,['Rhamnus formosana'],0,0,0,0,0,0,1,0,0,1,0,0
1413,['Triadica cochinchinensis'],0,0,1,0,0,0,1,0,0,0,0,0
1414,['Pericampylus glaucus'],0,1,1,0,0,0,1,0,1,1,0,0
1415,['Mikania micrantha'],0,1,0,0,0,0,1,0,0,0,0,0
1416,['Elephantopus mollis'],0,1,0,0,0,0,1,0,1,0,0,0
1417,['Glochidion rubrum'],0,1,1,0,0,0,1,0,0,0,0,0
1418,['Paederia cavaleriei'],0,1,0,0,0,0,1,0,1,0,0,0
1419,['Cyperus cyperoides'],0,1,0,0,0,0,1,0,1,0,1,1
1420,['Kerivoula furva'],0,1,0,0,0,0,0,0,0,0,0,0
1421,['Lamprocoris lateralis'],0,0,0,0,0,0,1,0,1,1,0,1
1422,['Dioscorea'],0,1,0,0,0,0,1,0,1,0,0,0
1423,['Mussaenda parviflora'],0,1,0,0,0,0,1,0,1,1,0,0
1424,['Toxicodendron succedaneum'],0,1,1,0,0,0,1,0,1,1,0,0
1425,['Uncaria hirsuta'],0,1,0,0,0,0,1,0,1,0,0,0
1426,['Tetrastigma formosanum'],0,0,0,0,0,0,1,0,0,0,0,0
1427,['Asarum macranthum'],0,0,0,0,0,0,1,0,0,0,0,0
1428,['Dindymus brevis'],0,0,0,0,0,0,0,0,1,1,0,0
1429,['Cynoglossum zeylanicum'],0,1,0,0,0,0,1,0,0,1,1,1
1430,['Chlorophorus annularis'],0,0,0,0,0,0,1,0,0,0,0,0
1431,['Deparia petersenii'],0,1,1,0,0,0,1,1,1,1,0,0
1432,['Dicranopteris tetraphylla'],0,1,0,0,0,0,1,0,1,0,0,0
1433,['Dicranopteris linearis'],0,1,1,0,0,0,1,0,1,1,0,0
1434,['Begonia longifolia'],0,1,0,0,0,0,1,1,1,0,0,0
1435,['Mallotus paniculatus'],0,1,1,0,0,0,1,1,1,0,0,0
1436,['Hypericum japonicum'],0,1,1,0,0,0,0,0,1,0,1,0
1437,['Dendrocitta formosae formosae'],0,1,0,0,0,0,0,0,0,0,0,0
1438,['Nymphoides cristata'],0,1,0,0,0,0,0,0,0,0,0,0
1439,['Bambusoideae'],0,1,1,0,0,0,0,1,0,0,0,0
1440,['Aroideae'],0,1,0,0,0,0,1,0,0,0,0,0
1441,['Lobelia nummularia'],0,1,1,1,0,0,1,1,1,1,1,1
1442,['Phallus luteus'],0,0,0,0,0,0,1,0,0,0,0,1
1443,['Phalangioidea'],0,1,1,0,0,0,1,1,1,1,0,1
1444,['Psammodynastes pulverulentus papenfussi'],0,1,0,0,0,0,0,0,0,0,0,0
1445,['Papilio memnon heronus'],0,1,0,0,0,0,1,1,0,0,0,0
